Slang,Baku
$,dollar
€,euro
4ao,for adults only
a.m,before midday
a3,anytime anywhere anyplace
aamof,as a matter of fact
abt,about
acct,account
adih,another day in hell
af,as freak
afaic,as far as i am concerned
afaict,as far as i can tell
afaik,as far as i know
afair,as far as i remember
afk,away from keyboard
aight,alright
app,application
approx,approximately
apps,applications
asap,as soon as possible
asl,age sex location
atk,at the keyboard
ave.,avenue
awol,away without leaving
aymm,are you my mother
ayor,at your own risk
b&b,bed and breakfast
b.c,before christ
b@u,back at you
b+b,bed and breakfast
b2b,business to business
b2c,business to customer
b4,before
b4n,bye for now
bae,before anyone else
bak,back at keyboard
bb,baby
bbbg,bye bye be good
bbc,british broadcasting corporation
bbias,be back in a second
bbl,be back later
bbs,be back soon
bcos,because
bcoz,because
be4,before
bfn,bye for now
blvd,boulevard
bout,about
brb,be right back
bro,brother
bros,brothers
brt,be right there
bsaaw,big smile and a wink
bt,bad trip
btw,by the way
bwl,bursting with laughter
c/o,care of
cet,central european time
cf,compare
cia,central intelligence agency
cld,could
coz,because
csl,can not stop laughing
cu,see you
cul8r,see you later
cv,curriculum vitae
cwot,complete waste of time
cya,see you
cyt,see you tomorrow
dae,does anyone else
dbmib,do not bother me i am busy
df,the freak 
dgaf,don't give a freak
dis,this
diy,do it yourself
dm,direct message
dnt,don't 
dw,don't worry
dwh,during work hours
e123,easy as one two three
eet,eastern european time
eg,example
embm,early morning business meeting
encl,enclosed
encl.,enclosed
enf,enough
eta,estimated time of arrival
etc,and so on
ez,easy
faq,frequently asked questions
fawc,for anyone who cares
fb,facebook
fbm,fine by me
fc,fingers crossed
ffs,for freaks sake
fig,figure
fimh,forever in my heart
fomo,fear of missing out
ft,featuring
ft.,feet
ftl,for the loss
ftw,for the win
fu,freak you
fwiw,for what it is worth
fwm,fine with me
fyi,for your information
g.o.a.t,greatest of all time
g9,genius
gahoy,get a hold of yourself
gal,get a life
gcse,general certificate of secondary education
gfn,gone for now
gg,good game
gl,good luck
glhf,good luck have fun
gm,good morning
gmt,greenwich mean time
gmta,great minds think alike
gn,good night
goat,greatest of all time
goi,get over it
gps,global positioning system
gr8,great
gratz,congratulations
grl,girl
grw,get ready with me
gtg,going to go
gyal,girl
h&c,hot and cold
h8,hate
hbd,happy birthday
hbu,how about you
hp,horsepower
hr,hour
hrh,his royal highness
hru,how are you
ht,height
hw,homework
i.e,that is
ibrb,i will be right back
ic,i see
icq,i seek you
icymi,in case you missed it
idc,i do not care
idgadf,i do not give a damn fuck
idgaf,i don't give a freak
idk,i do not know
idts,i don't think so
ie,that is
ifyp,i feel your pain
ig,instagram
iirc,if i remember correctly
ik,i know
ilu,i love you
ily,i love you
ilysm,i love you so much
imho,in my humble opinion
imo,in my opinion
imu,i miss you
imy,i miss you
iow,in other words
irl,in real life
j4f,just for fun
jic,just in case
jk,just kidding
jsyk,just so you know
k,okay
l2g,like to go
l8r,later
lb,pound
lbs,pounds
ldr,long distance relationship
lmao,laugh my ass off
lmfao,laughing my freaking ass off
lmk,let me know
lol,laughing out loud
ltd,limited
ltns,long time no see
ly,love you
m8,mate
mf,motherfucker
mfs,motherfuckers
mfw,my face when
mofo,motherfucker
mph,miles per hour
mr,mister
mrw,my reaction when
ms,miss
mte,my thoughts exactly
nagi,not a good idea
nbc,national broadcasting company
nbd,no big deal
nfs,not for sale
ngl,not going to lie
nhs,national health service
nm,nothing much
np,no problem
nrn,no reply necessary
nsfl,not safe for life
nsfw,not safe for work
nth,nice to have
nvm,never mind
nvr,never
nw,no way
nyc,new york city
oc,original content
ofc,ofcourse
og,original gangster
ohp,overhead projector
oic,oh i see
omdb,over my dead body
omfg,oh my freaking god
omg,oh my god
omw,on my way
ootd,outfit of the day
otb,off to bed
otw,off to work
p.a,per annum
p.m,after midday
pm,private message
poc,people of color
pov,point of view
pp,pages
ppl,people
prob,probably
prw,parents are watching
ps,postscript
pt,point
ptb,please text back
pto,please turn over
qpsa,what happens #que pasa
qt,cutie
r,are
ratchet,rude
rbtl,read between the lines
rlrt,real life retweet
rly,really
rofl,laughing
roflol,rolling on the floor laughing out loud
rotflmao,rolling on the floor laughing my ass off
rt,retweet
ruok,are you ok
sfw,safe for work
sh,same here
sis,sister
sk8,skate
smh,shake my head
sq,square
srsly,seriously
sry,sorry
ssdd,same stuff different day
sup,what's up
tbh,to be honest
tbs,tablespooful
tbsp,tablespooful
tfw,that feeling when
thks,thank you
thnk,thank you
tho,though
thx,thanks
tia,thanks in advance
til,today i learned
tl;dr,too long i did not read
tldr,too long i did not read
tmb,tweet me back
tntl,trying not to laugh
tryna,trying to be
ttly,totally
ttyl,talk to you later
ty,thank you
u,you
u2,you too
u4e,yours for ever
ur,you are
utc,coordinated universal time
w,with
w/,with
w/o,without
w8,wait
wassup,what is up
wb,welcome back
wdyk,what do you know
wfh,work from home
whatevs,whatever
wru,where are you
wtf,what the freak
wtg,way to go
wtpa,where the party at
wuf,where are you from
wuzup,what is up
wyd,what are you doing
wywh,wish you were here
XD,laugh
xo,hugs and kisses
xoxo,hugs and kisses
y,why
yd,yard
ygtr,you got that right
ynk,you never know
yolo,you only live once
zzz,sleeping bored and tired
sbmm,skill based matchmaking
rng,random number generator
sp,single player
mp,multiplayer
ctd,crash to desktop
